openaq_id,station,city,lat,lon,parameters,provider,owner,first_date,last_date,in_cg
3409368,"32Bungalows, Bhilai - CECB",Bhilai,21.194815,81.31477,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-18,2026-07-19,True
270708,"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,21.185571,81.343175,"co,no,no2,nox,o3,pm10,pm25,so2",CPCB,Bhilai Steel Plant,2021-11-16,2026-07-19,True
3409367,"Hathkhoj, Bhilai - CECB",Bhilai,21.224231,81.40835,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-18,2026-07-19,True
236406,"Mangala, Bilaspur - CECB",Bilaspur,22.08815,82.13736999999999,"co,no,no2,nox,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2021-09-22,2026-07-19,True
3409396,"Nawapara SECL Colony, Chhal - CECB",Chhal,22.118125,83.140608,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-18,2026-07-19,True
3409365,"Rampur, Korba - CECB",Korba,22.368195,82.746431,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-19,2026-07-19,True
3409366,"Urja Nagar, Korba - CECB",Korba,22.348441,82.549611,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-18,2026-07-19,True
3409397,"OP Jindal School, Kunjemura - CECB",Kunjemura,22.12665,83.483212,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-18,2026-07-19,True
3409398,"Govt. Higher Secondary School, Milupara - CECB",Milupara,22.191017199999997,83.5197009,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-18,2026-07-19,True
3409361,"AIIMS, Raipur - CECB",Raipur,21.258815,81.578979,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-18,2026-07-19,True
3409364,"Bhatagaon New ISBT, Raipur - CECB",Raipur,21.219665,81.630094,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-21,2026-07-19,True
3409363,"Krishak Nagar, Raipur - CECB",Raipur,21.237755,81.705301,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-18,2026-07-19,True
3409362,"Siltara Phase-II, Raipur - CECB",Raipur,21.371751,81.664929,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-18,2026-07-18,True
3409399,"OP Jindal Industrial Park, Tumidih - CECB",Tumidih,22.06631475,83.33820077,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",CPCB,Chhattisgarh Environment Conservation Board,2025-02-18,2026-07-19,True
